sample_idx,image,tag_id,reproj_error_px,marker_area_px2,distance_m,odom_x,odom_y,odom_yaw_rad,cam_tag_tx,cam_tag_ty,cam_tag_tz
3,3_Color.png,438,0.03561613490635009,1250.9876882193494,0.45507464901232053,0.1775312444497314,0.0017317319132127,0.0515625,0.08142613340011604,-0.13176474806595428,0.42790276014570044
4,4_Color.png,99,0.3049709124016761,1143.5773409309331,0.45978468176880505,0.2026346364193334,0.0031210055290786,0.0642533735795454,-0.12946148555313802,-0.07732657093824619,0.43435271240611395
5,5_Color.png,438,0.43744916992035765,1692.047687928367,0.39068055918188077,0.2026346364193334,0.0031210055290786,0.0707164417613636,0.07753540151394654,-0.11883100060692511,0.36400378312525145
5,5_Color.png,99,0.0226198323890758,1191.8681612759829,0.4288934898427795,0.2026346364193334,0.0031210055290786,0.0707164417613636,-0.07794762049286472,-0.07133643235723498,0.4156740399731024
6,6_Color.png,92,0.13155114078079183,1728.944870919804,0.3795328330933853,0.202692116959192,0.0026243205307773,0.16036034036766403,0.04153982760729825,-0.11717372134142959,0.35859438526732185
7,7_Color.png,99,0.4645647905426186,1494.5826789378189,0.3831302742064877,0.2244907511212656,0.0929756144481702,-0.2266432400169638,-0.034380958409054065,-0.06279802316442595,0.3763816746323519
8,8_Color.png,392,0.029937392262932155,1087.9465054343455,0.4385184023838997,0.2400544397280541,0.1806000663919837,-0.6113866722965856,0.06471452691560184,-0.007835239798471177,0.4336462017044749
13,13_Color.png,99,0.016491475573502393,1219.580749068351,0.46694547144246373,0.2259624756032764,0.121393032997711,-0.6824862332468448,-0.1528831531695432,-0.08007323261243164,0.43388142642496014
13,13_Color.png,392,0.7655565578317912,1003.0663557587541,0.4886201737235999,0.2259624756032764,0.121393032997711,-0.6824862332468448,-0.1597502915936979,-0.02043268110306413,0.4613155363179848
14,14_Color.png,99,0.1859893766024741,1017.0052795410156,0.504382872537161,0.2013303400209439,0.0662921948764482,-0.3001579416333918,-0.17671404604065472,-0.08496901797493041,0.464709042332033
14,14_Color.png,92,0.5976608209703312,1056.5822968430002,0.4693820135258953,0.2013303400209439,0.0662921948764482,-0.3001579416333918,-0.011904484131147289,-0.13860169035637165,0.4482937979824743
