sample_idx,image,detected_corners,reproj_error_px,se3_trans_residual_m,se3_rot_residual_deg
1,1_Color.png,54,0.12984488250292797,0.1029301112816044,16.8565687882912
2,2_Color.png,54,0.12706619972191696,0.12335571143985172,15.937649608739719
3,3_Color.png,54,0.14981852499235057,0.09480554506317858,10.80153382697833
4,4_Color.png,54,0.1955044940361627,0.0735588536407719,5.587591770651705
5,5_Color.png,54,0.2828387004281549,0.07170822469262707,0.48548817334307676
6,6_Color.png,54,0.20415317239140157,0.041780682295794035,4.298322123208661
7,7_Color.png,54,0.27271979873642205,0.063312627114635,3.7242938795576115
8,8_Color.png,54,0.3577633379757779,0.09470868372596516,3.2318613688694025
9,9_Color.png,54,0.27339942995901856,0.07123592836459229,1.3482909897049207
10,10_Color.png,54,0.492926661912109,0.08496706077389006,1.0596995698287128
11,11_Color.png,54,0.401866870612648,0.08798797860482686,1.0960951736314712
12,12_Color.png,54,0.2891639790348441,0.05615787251137006,1.214828905508629
13,13_Color.png,54,0.3213262017380577,0.05057855018130763,0.7307971967832746
14,14_Color.png,54,0.40351818252808885,0.04851033226418543,3.02502879081179
15,15_Color.png,54,0.36628473360384184,0.046247230077685046,4.557360292504327
16,16_Color.png,54,0.37717900722139813,0.05773484850205758,6.191967391739919
17,17_Color.png,54,0.27027047992304687,0.029739395803092684,6.121372751828679
18,18_Color.png,54,0.29309462668968717,0.03480269290140973,4.422441053813513
19,19_Color.png,54,0.2709895198693765,0.021240501238189186,1.31369307662013
20,20_Color.png,54,0.29959357279148896,0.05504984125799383,2.3886406759720913
21,21_Color.png,54,0.3412071304416129,0.07377952312428224,6.876972268830366
22,22_Color.png,54,0.14522141568410513,0.0450792650151224,10.259203115586814
23,23_Color.png,54,0.17699730514316403,0.09953399171599728,13.286043298921072
24,24_Color.png,54,0.18135922072871116,0.1281048902569329,17.150316849597182
25,25_Color.png,54,0.1357252218719393,0.10042002214602361,12.269746689007567
