x,y,z,rx,ry,rz
73710,-26727,151408,-169568,37424,171680
42844,-22021,131983,-177498,47910,162261
48052,-24496,139300,145562,44864,114469
50577,-26403,137295,171414,51392,150177
45441,-15756,170455,-143760,25306,-133380
315308,-152919,213646,177578,-832,157462
