sample_idx,image,detected_corners,reproj_error_px,se3_trans_residual_m,se3_rot_residual_deg
2,2_Color.png,54,0.167293469613175,0.18349151107720496,8.251482631095179
3,3_Color.png,54,0.17822328229353027,0.15863835489497546,7.451482524857171
4,4_Color.png,54,0.1841016173653342,0.12575366980142885,5.404475444934455
6,6_Color.png,54,0.27278251931778486,0.10100436883201509,1.8268020135863017
7,7_Color.png,54,0.3425205970520377,0.03772538592429636,1.9376544621089415
8,8_Color.png,54,0.38876293093031716,0.050433394801679604,4.661036373798588
9,9_Color.png,54,0.3396410241989119,0.08596355431708284,7.313169252627134
10,10_Color.png,54,0.17646746590063245,0.03484833330043138,4.655563700506179
11,11_Color.png,54,0.21907190210774102,0.030799998371479387,3.3727524539216405
12,12_Color.png,54,0.42877058793959644,0.07235298941078912,1.7199952271956467
13,13_Color.png,54,0.3749320410853383,0.05975020412488388,3.067231524703315
14,14_Color.png,54,0.30397617672318555,0.07810935951778922,6.0520065536748575
15,15_Color.png,54,0.45106102743882065,0.10935250058968304,3.7074559116665213
16,16_Color.png,54,0.4192163181057316,0.07508368103923431,1.7056695901498742
17,17_Color.png,54,0.3837363592871477,0.030421621117538905,7.260139149301541
18,18_Color.png,54,0.2878849318815736,0.022587078729882967,7.789406898374296
19,19_Color.png,54,0.5128218355889679,0.020568112637531062,5.8983490459318615
20,20_Color.png,54,0.49012714676325037,0.023431817559801327,5.197479322640442
21,21_Color.png,54,0.47147456091022283,0.03676306133748887,4.147752601238297
22,22_Color.png,54,0.23050037438088442,0.0434439603511081,0.828674079382778
23,23_Color.png,54,0.1698334685019722,0.05020550697140299,1.883688269236608
24,24_Color.png,54,0.17941463518893397,0.07502412969278524,5.095613399263121
25,25_Color.png,54,0.24218131244072208,0.07130690877802155,5.73518513127797
26,26_Color.png,54,0.27225801921964826,0.1008996376701792,6.80704770923536
