sample_id,saved_wall_time,timestamp,x,y,yaw,vx,vy,wz
sample_000001,2026-06-10 13:35:16.896,1781069716.8897424,0.0,0.0,0.0,0.0,0.0,0.0
sample_000002,2026-06-10 13:35:45.622,1781069745.6126432,0.019410070620883086,0.0012303175058775487,-0.041827947443181815,0.0,0.0,0.0
sample_000003,2026-06-10 13:36:10.425,1781069770.4149573,0.05187472431126879,0.005679715214512291,-0.2572426564464416,0.0,0.0,0.0
sample_000004,2026-06-10 13:36:29.656,1781069789.6367583,0.08541331944919592,0.006432719503432084,-0.47694108094829435,0.0,0.0,0.0
sample_000005,2026-06-10 13:37:02.921,1781069822.919696,0.12415571341527776,-0.0009317090496239477,-0.6893795874779286,0.0,0.0,0.0
sample_000006,2026-06-10 13:37:29.052,1781069849.0419507,0.12780458077665888,-0.0038989992481006644,-0.6758275633302014,0.0,0.0,0.0
sample_000007,2026-06-10 13:37:57.348,1781069877.344335,0.1505234515506221,-0.021907126630797535,-0.6681393531029285,0.0,0.0,0.0
sample_000008,2026-06-10 13:38:35.485,1781069915.4673924,0.17369432100308335,-0.03695984262198505,-0.4944154601633065,0.0,0.0,0.0
sample_000009,2026-06-10 13:38:56.216,1781069936.2089581,0.17674722112564306,-0.03968878909659294,-0.4747038790198405,0.0,0.0,0.0
sample_000010,2026-06-10 13:39:12.246,1781069952.2301776,0.18273584688372654,-0.04382034463308608,-0.4439565867613179,0.0,0.0,0.0
sample_000011,2026-06-10 13:39:35.880,1781069975.8719764,0.18273584688372654,-0.04382034463308608,-0.44282022312495417,0.0,0.0,0.0
sample_000012,2026-06-10 13:40:01.166,1781070001.1537673,0.1535631972024215,-0.02998578735946942,-0.44282022312495417,0.0,0.0,0.0
sample_000013,2026-06-10 13:40:29.618,1781070029.6157928,0.152375525320875,-0.03274066318697686,-0.3407945581885416,0.0,0.0,0.0
sample_000014,2026-06-10 13:40:44.781,1781070044.7769144,0.1507997233199209,-0.03930155008052019,-0.24172964452554452,0.0,0.0,0.0
sample_000015,2026-06-10 13:41:18.430,1781070078.41921,0.1506424948560767,-0.04028835990495291,-0.08529228472447427,0.0,0.0,0.0
sample_000016,2026-06-10 13:41:36.720,1781070096.700402,0.15062853594999964,-0.0407881650159123,0.0393762989896749,0.0,0.0,0.0
sample_000017,2026-06-10 13:41:56.544,1781070116.541767,0.10644504490291602,-0.042528847101213504,0.0393762989896749,0.0,0.0,0.0
sample_000018,2026-06-10 13:42:21.478,1781070141.4634407,0.10644504490291602,-0.042528847101213504,0.04820087285331125,0.0,0.0,0.0
sample_000019,2026-06-10 13:42:52.729,1781070172.7255247,0.08649467826315636,-0.03813006512436093,-0.12805562535162343,0.0,0.0,0.0
sample_000020,2026-06-10 13:43:08.980,1781070188.9665265,0.07504197658016212,-0.02809123062483095,-0.3159553324739062,0.0,0.0,0.0
sample_000021,2026-06-10 13:43:31.747,1781070211.728018,0.06775719231600334,-0.024401370818275987,-0.5078572057006494,0.0,0.0,0.0
sample_000022,2026-06-10 13:43:50.824,1781070230.8092089,0.05700222421484215,-0.014194670006438318,-0.5590435071921267,0.0,0.0,0.0
sample_000023,2026-06-10 13:44:04.907,1781070244.890051,0.039059947489584836,0.0051175389273445445,-0.6086170933959618,0.0,0.0,0.0
sample_000024,2026-06-10 13:44:23.801,1781070263.791236,0.03167160938671937,0.020814055571788215,-0.7505780191872635,0.0,0.0,0.0
sample_000025,2026-06-10 13:44:55.359,1781070295.3532386,0.017470525372001586,0.005572733467137111,-0.663674360407079,0.0,0.0,0.0
