sample_id,saved_wall_time,timestamp,x,y,yaw,vx,vy,wz
sample_000001,2026-06-10 13:08:36.384,1781068116.37366,0,0,0,0,0,0
sample_000002,2026-06-10 13:09:07.049,1781068147.03766,0.0344102679540859,0.000686689550984422,-0.0708767977627841,0,0,0
sample_000003,2026-06-10 13:09:27.697,1781068167.68039,0.0675327703998391,-0.00221729771187882,-0.164178258722479,0,0,0
sample_000004,2026-06-10 13:10:01.735,1781068201.72498,0.109830119260116,-0.0103135369887746,-0.307265699993481,0,0,0
sample_000005,2026-06-10 13:10:26.666,1781068226.64836,0.156691995404125,-0.0357424318522197,-0.797489767600714,0,0,0
sample_000006,2026-06-10 13:10:57.810,1781068257.79266,0.152776523030335,-0.0332056277201816,-0.470209998175447,0,0,0
sample_000007,2026-06-10 13:11:43.893,1781068303.87898,0.179731164592129,-0.0461416501691171,-0.43672389199647,0,0,0
sample_000008,2026-06-10 13:12:34.859,1781068354.84604,0.179731164592129,-0.0461416501691171,-0.419897054283402,0,0,0
sample_000009,2026-06-10 13:13:04.665,1781068384.64649,0.112108523317361,-0.016294161492456,-0.403921379567493,0,0,0
sample_000010,2026-06-10 13:13:31.245,1781068411.23009,0.0324129570816002,0.00869300476957786,-0.374109589794765,0,0,0
sample_000011,2026-06-10 13:14:04.203,1781068444.18796,0.0470788250912529,0.00305394790192349,-0.354702629567493,0,0,0
sample_000012,2026-06-10 13:14:24.790,1781068464.7796,0.0636315964598995,-0.00294164907965737,-0.343374504567493,0,0,0
sample_000013,2026-06-10 13:14:50.025,1781068490.0118,0.0738202706670277,-0.00651661404438538,-0.329926795050447,0,0,0
sample_000014,2026-06-10 13:15:07.574,1781068507.56723,0.0742933036983012,-0.00667860093065769,-0.329926795050447,0,0,0
sample_000015,2026-06-10 13:15:33.355,1781068533.34106,0.0742933036983012,-0.00667860093065769,-0.329926795050447,0,0,0
sample_000016,2026-06-10 13:16:15.596,1781068575.59104,0.0101528911421785,-0.00820636975286894,-0.163798282766352,0,0,0
sample_000017,2026-06-10 13:16:38.445,1781068598.43194,-0.0381515570002999,-0.021512850945349,0.0613778109497538,0,0,0
sample_000018,2026-06-10 13:17:09.316,1781068629.30845,-0.0381515570002999,-0.021512850945349,0.215271394454745,0,0,0
sample_000019,2026-06-10 13:19:18.700,1781068758.6976848,0.049438161930147835,-0.0009809412777305297,0.2673421508467904,0.0,0.0,0.0
sample_000020,2026-06-10 13:20:01.762,1781068801.754192,0.04929296897490496,-0.0002451544343369962,0.17794044623197766,0.0,0.0,0.0
sample_000021,2026-06-10 13:20:23.031,1781068823.0279326,0.04880556400691163,0.0035348947709286263,0.08208656266208683,0.0,0.0,0.0
sample_000022,2026-06-10 13:20:42.900,1781068842.8856642,-0.0811187422592607,0.009801148512595108,-0.035422412280207205,0.0,0.0,0.0
sample_000023,2026-06-10 13:21:04.101,1781068864.0851443,-0.20347229054171123,0.027983273129271406,-0.1497215622269402,0.0,0.0,0.0
sample_000024,2026-06-10 13:22:34.831,1781068954.8262172,-0.32824749187313607,0.05541122893914335,-0.2755571890025084,0.0,0.0,0.0
sample_000025,2026-06-10 13:22:56.365,1781068976.3638573,-0.32824749187313607,0.05541122893914335,-0.3728736537842695,0.0,0.0,0.0
sample_000026,2026-06-10 13:23:18.024,1781068998.0222225,-0.2844715283971144,0.03745048632458968,-0.44343528819478106,0.0,0.0,0.0
