sample_idx,image,tag_id,reproj_error_px,marker_area_px2,se3_trans_residual_m,se3_rot_residual_deg
1,1_Color.png,638,0.20784202343211758,419.9510367810726,0.03832941414235958,6.9920783446191646
2,2_Color.png,62,0.27014720537158204,540.3007469177246,0.08567607513158697,6.6303809627235815
2,2_Color.png,113,0.234688924360859,456.7054568147287,0.030699618142500922,20.69165533814852
3,3_Color.png,113,0.20044670089994027,524.9556503295898,0.03703663773370643,28.260043406156353
3,3_Color.png,62,0.08568329238738774,522.3980865478516,0.08567604501947661,6.629727539041138
5,5_Color.png,638,0.027651608898327556,401.1788887679577,0.038329418336038756,6.991368518271231
8,8_Color.png,113,0.5339588891912798,532.6380054547917,0.0659941243171376,31.300103383151246
10,10_Color.png,99,0.14202399133947866,792.5397033691406,0.053752901259630316,38.28731159430398
13,13_Color.png,392,0.44573183670297695,1337.4662227871886,0.035505259910757786,9.715072714138609
14,14_Color.png,392,0.7380253813139726,1369.4351831341628,0.03550531315040898,9.71392197631262
14,14_Color.png,438,0.5664419205808837,1383.1981312561838,0.0368858145726586,5.391437239770889
16,16_Color.png,99,0.5800933195568286,1219.4416856530006,0.038968417887443825,45.30543180390135
16,16_Color.png,524,0.07585711550759434,1224.4094247943722,0.03615569010138013,4.125893691626142
17,17_Color.png,438,0.5632635773017247,1032.9095512254862,0.03688586899298697,5.396540593342529
18,18_Color.png,99,0.4889030341581429,524.3603691698518,0.05023188250454733,8.34452059024113
18,18_Color.png,524,0.3105327314278731,441.0,0.036155703276360855,4.1230208266767745
