sample_id,saved_wall_time,timestamp,x,y,yaw,vx,vy,wz
sample_000001,2026-06-10 09:29:19.104,1781054959.0913339,0.0,0.0,0.0,0.0,0.0,0.0
sample_000002,2026-06-10 09:30:22.071,1781055022.0542843,0.0869079797860044,0.00032787991891469515,-0.00390625,0.0,0.0,0.0
sample_000003,2026-06-10 09:30:51.124,1781055051.1156917,0.17753124444973145,0.0017317319132127624,0.05156250000000003,0.0,0.0,0.0
sample_000004,2026-06-10 09:31:30.082,1781055090.0775132,0.2026346364193334,0.003121005529078648,0.06425337357954548,0.0,0.0,0.0
sample_000005,2026-06-10 09:32:04.843,1781055124.8391697,0.2026346364193334,0.003121005529078648,0.07071644176136369,0.0,0.0,0.0
sample_000006,2026-06-10 09:32:47.038,1781055167.0210457,0.20269211695919206,0.0026243205307773534,0.16036034036766406,0.0,0.0,0.0
sample_000007,2026-06-10 09:33:41.717,1781055221.7036214,0.22449075112126565,0.0929756144481702,-0.22664324001696387,0.0,0.0,0.0
sample_000008,2026-06-10 09:34:22.414,1781055262.4055555,0.24005443972805413,0.18060006639198378,-0.6113866722965855,0.0,0.0,0.0
sample_000009,2026-06-10 09:34:54.663,1781055294.646968,0.23965537535440185,0.18090115231047776,-0.6923478650345113,0.0,0.0,0.0
sample_000010,2026-06-10 09:35:23.515,1781055323.508257,0.26056299919107706,0.2955531604005287,-0.9936850890748397,0.0,0.0,0.0
sample_000011,2026-06-10 09:36:13.578,1781055373.5705898,0.28870158136417456,0.24233109606799258,-1.1393755952296802,0.0,0.0,0.0
sample_000012,2026-06-10 09:36:44.087,1781055404.0719802,0.3119665574353489,0.19118937300861863,-1.147898322502408,0.0,0.0,0.0
sample_000013,2026-06-10 09:37:41.562,1781055461.554584,0.22596247560327642,0.12139303299771108,-0.6824862332468449,0.0,0.0,0.0
sample_000014,2026-06-10 09:38:15.323,1781055495.3161483,0.20133034002094397,0.06629219487644829,-0.3001579416333918,0.0,0.0,0.0
